RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,1,51997,Andrew Novak,27.49,1127,41,21
2,-1,23108,Matt Kuchar,27.50,825,30,24
3,0,57975,Harry Hall,27.59,1269,46,22
4,1,39971,Sungjae Im,27.60,1297,47,24
5,0,33448,Justin Thomas,27.63,1105,40,22
6,1,27649,Brandt Snedeker,27.64,774,28,22
7,-3,35461,Beau Hossler,27.70,1108,40,21
8,3,47591,Eric Cole,27.77,1444,52,21
9,3,35532,Tom Hoge,27.78,1278,46,23
10,-2,55789,Taylor Montgomery,27.83,835,30,22
11,-2,57586,Jesper Svensson,27.85,1086,39,23
12,5,47504,Sam Burns,27.86,1170,42,22
13,-1,60004,Jacob Bridgeman,27.95,1062,38,23
14,1,28237,Rory McIlroy,27.96,671,24,22
15,5,47056,Rikuya Hoshino,27.97,895,32,22
15,1,37378,Min Woo Lee,27.97,951,34,23
17,3,59018,Ryan Gerard,28.02,1233,44,23
18,8,22371,Aaron Baddeley,28.03,869,31,22
18,-8,45157,Cam Davis,28.03,897,32,20
18,-4,33199,Matteo Manassero,28.03,841,30,22
21,11,37275,Sam Ryder,28.05,1178,42,21
22,20,55623,Kaito Onishi,28.08,702,25,22
22,21,46046,Scottie Scheffler,28.08,1011,36,24
22,0,57366,Cameron Young,28.08,1039,37,21
25,0,37455,Si Woo Kim,28.11,1237,44,21
26,20,36699,Patrick Rodgers,28.12,1406,50,22
26,2,52144,Braden Thornberry,28.12,703,25,24
28,-11,49590,Frankie Capan III,28.13,900,32,22
29,22,59143,Mac Meissner,28.14,1182,42,24
30,-11,52370,Mason Andersen,28.15,929,33,24
30,-3,22405,Justin Rose,28.15,732,26,24
32,-3,33204,Shane Lowry,28.18,958,34,24
32,-10,51894,Vince Whaley,28.18,1127,40,24
34,-4,25900,Lucas Glover,28.19,1043,37,24
34,22,59141,Matt McCarty,28.19,1212,43,23
34,5,36824,Paul Peterson,28.19,733,26,24
37,-3,29420,Billy Horschel,28.21,1072,38,23
38,-3,28089,Jason Day,28.22,1016,36,23
38,-3,60067,Joe Highsmith,28.22,1016,36,24
40,-3,52955,Ludvig Åberg,28.24,819,29,25
40,-3,32102,Rickie Fowler,28.24,932,33,24
40,-8,32757,Patton Kizzire,28.24,819,29,24
43,-4,30911,Tommy Fleetwood,28.25,904,32,24
44,-1,50582,Jeremy Paul,28.26,961,34,25
45,-2,56630,Akshay Bhatia,28.28,1018,36,24
46,12,33948,Byeong Hun An,28.29,1188,42,23
46,21,54607,Danny Walker,28.29,990,35,23
48,-2,45522,Christiaan Bezuidenhout,28.30,1047,37,23
48,-2,39977,Max Homa,28.30,764,27,24
50,-26,29936,Ryan Fox,28.33,850,30,25
50,-20,34466,Peter Malnati,28.33,935,33,24
50,22,47347,Adam Schenk,28.33,935,33,24
53,0,40026,Daniel Berger,28.35,1134,40,24
53,-2,46443,Brian Campbell,28.35,879,31,22
53,0,46717,Viktor Hovland,28.35,737,26,23
56,30,51349,Nico Echavarria,28.39,1164,41,23
56,2,50525,Collin Morikawa,28.39,795,28,23
56,0,34046,Jordan Spieth,28.39,1079,38,23
56,2,51634,Sahith Theegala,28.39,1306,46,20
60,1,34021,Bud Cauley,28.40,852,30,23
61,1,47993,Denny McCarthy,28.41,1250,44,23
61,1,49771,J.T. Poston,28.41,1307,46,21
61,1,49960,Sepp Straka,28.41,1250,44,21
61,15,52666,Sami Valimaki,28.41,1165,41,23
65,13,47995,Davis Riley,28.43,1137,40,22
66,2,59866,Nick Dunlap,28.44,1024,36,24
66,6,36799,Stephan Jaeger,28.44,1365,48,22
66,35,48117,Kurt Kitayama,28.44,967,34,23
69,-30,54813,Philip Knowles,28.45,626,22,25
69,-23,63343,Aldrich Potgieter,28.45,825,29,23
71,-2,33399,Adam Hadwin,28.46,1053,37,24
72,-2,32839,Hideki Matsuyama,28.47,1025,36,24
73,12,58933,Will Chandler,28.48,940,33,24
74,0,51977,Max Greyserman,28.49,1225,43,23
74,0,57900,Chandler Phillips,28.49,1168,41,23
76,-14,58605,Quade Cummins,28.50,969,34,23
76,-26,33597,Harry Higgs,28.50,912,32,24
76,-6,40162,Justin Lower,28.50,969,34,23
79,-24,24024,Zach Johnson,28.52,827,29,24
80,-2,34099,Harris English,28.53,1027,36,23
80,-2,34098,Russell Henley,28.53,970,34,24
80,-4,34587,Chan Kim,28.53,1227,43,23
83,-1,39975,Michael Kim,28.54,1313,46,23
84,-1,33141,Keegan Bradley,28.55,1085,38,22
84,-6,47420,Jake Knapp,28.55,1342,47,24
86,4,31646,Emiliano Grillo,28.58,1086,38,23
87,-3,27770,Camilo Villegas,28.59,972,34,22
88,-2,47983,Chad Ramey,28.62,1116,39,23
89,1,51766,Wyndham Clark,28.64,1031,36,25
90,2,31323,Gary Woodland,28.65,974,34,23
91,2,33653,Thomas Detry,28.67,1204,42,24
92,-30,32070,Rafael Campos,28.68,1176,41,23
92,2,48153,Matthieu Pavon,28.68,1090,38,23
92,20,55893,Sam Stevens,28.68,1434,50,24
95,20,63121,William Mouw,28.70,947,33,22
95,0,32139,Danny Willett,28.70,775,27,24
97,-11,54628,Lee Hodges,28.71,804,28,25
97,-1,24502,Adam Scott,28.71,804,28,23
99,-10,23320,Ryan Palmer,28.73,747,26,21
100,23,39859,Cristobal Del Solar,28.76,834,29,24
100,16,29535,Brice Garnett,28.76,978,34,24
100,-1,39546,Keith Mitchell,28.76,1093,38,22
100,-1,38991,Alejandro Tosti,28.76,1093,38,25
104,0,29725,Tony Finau,28.78,1065,37,22
104,38,46601,Trey Mullinax,28.78,921,32,23
106,-9,51287,Ryo Hisatsune,28.79,1094,38,25
107,-1,30163,Henrik Norlander,28.80,1181,41,23
107,-3,46340,Alex Smalley,28.80,1152,40,22
107,19,40006,Erik van Rooyen,28.80,1008,35,23
110,-4,35450,Patrick Cantlay,28.81,1037,36,25
110,6,12716,Charley Hoffman,28.81,1037,36,23
110,-2,54304,Karl Vilips,28.81,749,26,24
113,-12,35310,Lanto Griffin,28.82,951,33,25
113,-12,50484,Hayden Springer,28.82,807,28,24
115,-5,25493,Nick Taylor,28.83,1153,40,23
115,-7,50474,Tim Widing,28.83,692,24,24
117,-19,36884,Ben Kohles,28.86,1039,36,24
118,-6,52375,Doug Ghim,28.87,1097,38,23
118,18,33413,Ben Martin,28.87,895,31,24
120,1,55182,Tom Kim,28.89,1069,37,22
120,-8,36326,David Lipsky,28.89,1040,36,25
122,7,36801,Mark Hubbard,28.90,1156,40,22
123,-5,35506,Mackenzie Hughes,28.93,1157,40,24
123,33,47917,Takumi Kanaya,28.93,781,27,25
123,8,51950,Max McGreevy,28.93,1157,40,24
123,-3,39324,J.J. Spaun,28.93,1244,43,23
127,12,59095,Chris Gotterup,28.95,1187,41,22
128,-5,27644,Brian Harman,28.96,1303,45,24
129,-19,34076,Joel Dahmen,28.97,1072,37,23
129,-3,30926,Chris Kirk,28.97,1043,36,25
129,2,34256,Andrew Putnam,28.97,1072,37,25
132,0,33968,Thorbjørn Olesen,29.00,580,20,25
133,-2,46414,Aaron Rai,29.03,1045,36,26
134,-11,39327,Ben Silverman,29.07,785,27,23
135,-4,35658,Kris Ventura,29.08,1105,38,23
136,-15,56781,Isaiah Salinda,29.09,1018,35,24
137,19,51690,Taylor Dickson,29.10,902,31,25
137,3,40098,Matt Fitzpatrick,29.10,873,30,24
137,-11,55165,Noah Goodwin,29.10,902,31,24
140,-3,39335,Kevin Roy,29.11,1077,37,24
141,-10,28252,Seamus Power,29.13,932,32,25
142,-5,57362,Austin Eckroat,29.14,1049,36,25
142,-13,54576,Patrick Fishburn,29.14,1020,35,24
144,1,46442,Maverick McNealy,29.16,1283,44,25
144,-4,52513,Carson Young,29.16,933,32,25
146,1,48081,Xander Schauffele,29.17,700,24,23
147,1,58168,Davis Thompson,29.19,1226,42,23
148,4,54591,Ben Griffin,29.21,1402,48,25
148,18,27139,David Skinns,29.21,964,33,25
150,4,59440,Ricky Castillo,29.23,1169,40,20
150,2,40115,Adam Svensson,29.23,1140,39,24
152,-9,49947,Taylor Moore,29.24,994,34,25
153,1,32791,K.H. Lee,29.25,702,24,22
154,9,59160,John Pak,29.26,1024,35,23
154,2,47483,Will Zalatoris,29.26,995,34,24
156,-6,27129,Luke List,29.27,966,33,25
156,-38,47679,Victor Perez,29.27,878,30,25
158,2,39997,Corey Conners,29.29,1230,42,25
159,0,48887,Matt Wallace,29.30,791,27,26
160,2,28775,Nate Lashley,29.31,1055,36,25
161,-11,52686,Rasmus Højgaard,29.33,880,30,25
161,-17,35706,Niklas Norgaard,29.33,704,24,24
163,-14,48867,Matti Schmid,29.35,1086,37,25
163,1,51890,Greyson Sigg,29.35,1086,37,25
165,-4,52453,Nicolai Højgaard,29.38,705,24,25
165,1,29908,C.T. Pan,29.38,705,24,25
167,-22,60019,Jackson Suber,29.42,971,33,23
168,0,46646,Antoine Rozner,29.46,1031,35,26
169,1,52215,Robert MacIntyre,29.47,943,32,26
169,-4,64693,Matthew Riedel,29.47,943,32,25
171,-2,57364,Michael Thorbjornsen,29.48,973,33,25
172,-1,45242,Kevin Yu,29.49,1209,41,25
173,0,59836,Pierceson Coody,29.55,591,20,24
174,-2,40250,Taylor Pendrith,29.58,1183,40,24
175,0,27064,Jhonattan Vegas,29.61,977,33,26
176,-2,47988,Nick Hardy,29.66,860,29,25
177,0,58619,Kevin Velo,29.67,801,27,25
178,-2,60882,Thomas Rosenmueller,29.70,980,33,26
179,-6,55708,Hayden Buckley,29.73,654,22,25
180,-2,45523,Thriston Lawrence,29.86,657,22,26
181,-2,57123,Steven Fisk,29.88,986,33,26
182,-2,51696,Rico Hoey,29.90,1256,42,25
183,-2,49453,Trevor Cone,30.12,753,25,25
184,-2,56762,Will Gordon,30.18,845,28,26
185,-2,51070,Vincent Norrman,30.50,732,24,24