RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,47917,Takumi Kanaya,72.84%,177,243,-0.18
2,1,25900,Lucas Glover,71.40%,327,458,-0.19
3,1,50525,Collin Morikawa,71.39%,242,339,-0.29
4,1,46414,Aaron Rai,70.60%,305,432,-0.27
5,-3,36884,Ben Kohles,69.86%,248,355,-0.17
6,1,36824,Paul Peterson,68.57%,168,245,-0.17
7,-1,29535,Brice Garnett,68.19%,268,393,-0.18
8,-1,39971,Sungjae Im,67.93%,377,555,-0.23
9,0,49960,Sepp Straka,67.27%,374,556,-0.31
10,8,47679,Victor Perez,67.03%,244,364,-0.21
11,0,34098,Russell Henley,66.37%,300,452,-0.26
12,4,51696,Rico Hoey,66.03%,278,421,-0.22
13,1,40026,Daniel Berger,66.01%,303,459,-0.26
14,5,34256,Andrew Putnam,65.61%,269,410,-0.20
15,9,46046,Scottie Scheffler,65.31%,288,441,-0.32
16,1,27649,Brandt Snedeker,65.28%,188,288,-0.14
17,-7,51950,Max McGreevy,65.11%,293,450,-0.24
18,-5,59141,Matt McCarty,65.05%,322,495,-0.21
19,-4,46443,Brian Campbell,64.94%,213,328,-0.21
20,7,37455,Si Woo Kim,64.81%,372,574,-0.29
21,-1,57362,Austin Eckroat,64.66%,300,464,-0.19
22,1,39997,Corey Conners,64.46%,341,529,-0.26
23,2,52215,Robert MacIntyre,64.15%,272,424,-0.26
23,2,25493,Nick Taylor,64.15%,306,477,-0.23
25,-13,59160,John Pak,63.92%,225,352,-0.11
26,-5,34076,Joel Dahmen,63.90%,262,410,-0.21
27,1,56630,Akshay Bhatia,63.49%,280,441,-0.27
28,2,29908,C.T. Pan,63.24%,203,321,-0.17
29,3,30163,Henrik Norlander,63.08%,258,409,-0.19
30,-8,24024,Zach Johnson,62.83%,191,304,-0.15
31,3,46717,Viktor Hovland,62.66%,193,308,-0.23
32,-3,31646,Emiliano Grillo,62.59%,271,433,-0.14
33,2,58619,Kevin Velo,62.30%,152,244,-0.19
34,2,58168,Davis Thompson,62.23%,313,503,-0.27
35,2,33141,Keegan Bradley,62.20%,306,492,-0.26
36,1,52513,Carson Young,62.07%,198,319,-0.14
37,-6,46340,Alex Smalley,62.03%,281,453,-0.26
38,1,49771,J.T. Poston,62.01%,346,558,-0.21
39,38,33199,Matteo Manassero,61.89%,190,307,-0.23
40,3,60067,Joe Highsmith,61.81%,259,419,-0.20
40,1,54628,Lee Hodges,61.81%,212,343,-0.31
42,12,55182,Tom Kim,61.74%,263,426,-0.21
43,1,33204,Shane Lowry,61.69%,248,402,-0.21
44,4,45242,Kevin Yu,61.62%,305,495,-0.25
45,0,33968,Thorbjørn Olesen,61.57%,165,268,-0.24
46,0,52375,Doug Ghim,61.46%,295,480,-0.15
46,-13,51890,Greyson Sigg,61.46%,252,410,-0.16
48,-8,51287,Ryo Hisatsune,61.44%,290,472,-0.19
49,-2,40115,Adam Svensson,61.37%,251,409,-0.21
50,-1,45522,Christiaan Bezuidenhout,61.26%,283,462,-0.22
51,-9,40250,Taylor Pendrith,61.24%,316,516,-0.26
52,-2,45523,Thriston Lawrence,61.19%,123,201,-0.02
53,-2,27644,Brian Harman,61.02%,335,549,-0.23
54,-3,57900,Chandler Phillips,60.99%,297,487,-0.16
55,6,23108,Matt Kuchar,60.98%,236,387,-0.17
56,-3,30911,Tommy Fleetwood,60.82%,236,388,-0.28
57,10,59018,Ryan Gerard,60.71%,323,532,-0.21
58,-2,51349,Nico Echavarria,60.66%,293,483,-0.16
59,-14,56781,Isaiah Salinda,60.64%,265,437,-0.24
60,3,32757,Patton Kizzire,60.52%,210,347,-0.24
61,-1,35450,Patrick Cantlay,60.33%,254,421,-0.30
62,-4,36326,David Lipsky,60.24%,203,337,-0.12
63,-6,37275,Sam Ryder,60.19%,316,525,-0.19
64,4,47993,Denny McCarthy,59.86%,334,558,-0.21
65,4,40098,Matt Fitzpatrick,59.78%,220,368,-0.24
66,4,32791,K.H. Lee,59.69%,154,258,-0.10
67,4,29725,Tony Finau,59.68%,265,444,-0.17
68,-4,34046,Jordan Spieth,59.66%,278,466,-0.24
69,3,32102,Rickie Fowler,59.62%,254,426,-0.21
70,-5,52666,Sami Valimaki,59.45%,305,513,-0.28
71,2,34099,Harris English,59.40%,237,399,-0.16
72,2,35532,Tom Hoge,59.36%,333,561,-0.27
73,-7,39327,Ben Silverman,59.27%,195,329,-0.17
74,-12,54591,Ben Griffin,59.25%,365,616,-0.21
75,0,59440,Ricky Castillo,59.13%,230,389,-0.22
76,13,40006,Erik van Rooyen,59.04%,245,415,-0.24
77,1,22405,Justin Rose,58.90%,172,292,-0.25
78,1,48153,Matthieu Pavon,58.85%,286,486,-0.23
79,-24,60004,Jacob Bridgeman,58.82%,280,476,-0.23
80,-4,55893,Sam Stevens,58.79%,378,643,-0.20
81,-22,49947,Taylor Moore,58.73%,249,424,-0.21
82,0,39975,Michael Kim,58.63%,309,527,-0.25
83,0,57123,Steven Fisk,58.59%,191,326,-0.19
84,0,59836,Pierceson Coody,58.50%,86,147,-0.40
85,-1,40162,Justin Lower,58.47%,214,366,-0.21
86,1,33399,Adam Hadwin,58.35%,283,485,-0.26
87,1,30926,Chris Kirk,58.26%,261,448,-0.23
88,2,28252,Seamus Power,58.07%,223,384,-0.19
89,-3,47983,Chad Ramey,58.01%,221,381,-0.14
89,-4,36699,Patrick Rodgers,58.01%,373,643,-0.22
89,3,31323,Gary Woodland,58.01%,268,462,-0.25
92,1,47483,Will Zalatoris,58.00%,243,419,-0.22
93,3,39335,Kevin Roy,57.84%,214,370,-0.21
94,0,35310,Lanto Griffin,57.77%,197,341,-0.10
95,2,60882,Thomas Rosenmueller,57.72%,172,298,-0.14
96,-16,33413,Ben Martin,57.35%,195,340,-0.17
97,2,33448,Justin Thomas,57.26%,268,468,-0.37
98,4,35658,Kris Ventura,57.24%,241,421,-0.20
99,-18,34587,Chan Kim,57.18%,247,432,-0.19
100,10,36801,Mark Hubbard,57.17%,259,453,-0.22
101,-1,55708,Hayden Buckley,57.14%,92,161,-0.11
102,-7,58933,Will Chandler,57.10%,185,324,-0.10
103,-1,39324,J.J. Spaun,57.00%,285,500,-0.22
104,-4,47504,Sam Burns,56.94%,287,504,-0.28
105,1,35506,Mackenzie Hughes,56.92%,296,520,-0.19
106,23,46646,Antoine Rozner,56.88%,215,378,-0.19
107,-2,47591,Eric Cole,56.85%,382,672,-0.20
108,-1,29420,Billy Horschel,56.69%,267,471,-0.28
108,3,27129,Luke List,56.69%,216,381,-0.18
110,-2,51997,Andrew Novak,56.68%,297,524,-0.24
111,-2,39977,Max Homa,56.48%,183,324,-0.17
112,-21,54813,Philip Knowles,56.38%,106,188,-0.07
113,-1,34021,Bud Cauley,56.36%,217,385,-0.20
114,-1,12716,Charley Hoffman,56.31%,223,396,-0.22
115,-1,28089,Jason Day,56.19%,227,404,-0.26
116,-1,51070,Vincent Norrman,56.18%,159,283,-0.20
117,1,46442,Maverick McNealy,55.96%,305,545,-0.28
118,-1,57975,Harry Hall,55.66%,300,539,-0.34
119,21,47056,Rikuya Hoshino,55.59%,159,286,-0.21
120,0,52955,Ludvig Åberg,55.52%,186,335,-0.24
121,-23,52453,Nicolai Højgaard,55.48%,162,292,-0.22
122,-6,55623,Kaito Onishi,55.35%,119,215,-0.08
123,-2,55165,Noah Goodwin,55.25%,163,295,-0.13
124,8,51690,Taylor Dickson,55.21%,180,326,-0.16
125,-1,33653,Thomas Detry,55.19%,298,540,-0.24
126,-7,36799,Stephan Jaeger,55.17%,320,580,-0.26
127,0,51634,Sahith Theegala,54.90%,308,561,-0.23
128,8,48117,Kurt Kitayama,54.74%,231,422,-0.20
129,-8,57586,Jesper Svensson,54.71%,267,488,-0.24
130,-5,58605,Quade Cummins,54.63%,171,313,-0.23
131,-5,33597,Harry Higgs,54.61%,166,304,-0.01
132,2,23320,Ryan Palmer,54.58%,143,262,-0.15
133,11,46601,Trey Mullinax,54.55%,186,341,-0.23
133,-29,54304,Karl Vilips,54.55%,162,297,-0.23
135,-4,39546,Keith Mitchell,54.48%,237,435,-0.26
136,11,47995,Davis Riley,54.34%,213,392,-0.26
137,-4,59143,Mac Meissner,54.26%,255,470,-0.19
138,-10,27064,Jhonattan Vegas,54.15%,209,386,-0.17
139,11,50582,Jeremy Paul,54.07%,166,307,-0.17
140,2,54576,Patrick Fishburn,53.95%,205,380,-0.27
141,15,38991,Alejandro Tosti,53.83%,211,392,-0.18
142,11,57364,Michael Thorbjornsen,53.70%,174,324,-0.22
143,11,28775,Nate Lashley,53.69%,218,406,-0.19
144,-5,47347,Adam Schenk,53.63%,192,358,-0.23
145,-10,60019,Jackson Suber,53.62%,185,345,-0.26
146,-23,33948,Byeong Hun An,53.61%,282,526,-0.23
146,-16,45157,Cam Davis,53.61%,208,388,-0.31
148,-10,50484,Hayden Springer,53.57%,135,252,-0.20
149,-6,24502,Adam Scott,53.46%,193,361,-0.27
150,2,47988,Nick Hardy,53.31%,129,242,-0.15
151,-10,48867,Matti Schmid,53.28%,187,351,-0.17
152,-7,51766,Wyndham Clark,53.27%,220,413,-0.31
153,-7,32839,Hideki Matsuyama,53.09%,232,437,-0.28
154,-17,22371,Aaron Baddeley,53.08%,155,292,-0.11
155,-7,37378,Min Woo Lee,52.93%,217,410,-0.26
156,18,29936,Ryan Fox,52.72%,184,349,-0.23
157,0,54607,Danny Walker,52.63%,170,323,-0.20
158,5,35461,Beau Hossler,52.20%,261,500,-0.19
159,-10,52686,Rasmus Højgaard,51.86%,181,349,-0.25
160,1,28237,Rory McIlroy,51.81%,143,276,-0.33
161,-3,35706,Niklas Norgaard,51.76%,132,255,-0.25
162,-7,63343,Aldrich Potgieter,51.71%,166,321,-0.22
163,-13,55789,Taylor Montgomery,51.62%,159,308,-0.28
164,-2,51977,Max Greyserman,51.60%,258,500,-0.30
165,0,32139,Danny Willett,51.23%,83,162,-0.17
166,0,59095,Chris Gotterup,51.11%,208,407,-0.19
167,1,51894,Vince Whaley,51.02%,201,394,-0.19
168,-8,52370,Mason Andersen,50.68%,148,292,-0.16
169,-2,47420,Jake Knapp,50.66%,307,606,-0.28
170,1,32070,Rafael Campos,50.65%,233,460,-0.18
171,-12,27770,Camilo Villegas,50.64%,199,393,-0.26
172,-3,56762,Will Gordon,50.58%,173,342,-0.20
173,-9,64693,Matthew Riedel,50.35%,142,282,-0.18
174,-4,63121,William Mouw,50.17%,150,299,-0.09
175,1,48887,Matt Wallace,49.79%,121,243,-0.20
176,3,49453,Trevor Cone,49.53%,105,212,-0.03
177,-4,48081,Xander Schauffele,49.28%,137,278,-0.27
178,-3,57366,Cameron Young,49.12%,223,454,-0.24
179,-7,50474,Tim Widing,49.01%,99,202,-0.18
180,-3,59866,Nick Dunlap,48.37%,208,430,-0.27
181,-3,39859,Cristobal Del Solar,47.39%,127,268,-0.08
182,-2,34466,Peter Malnati,47.22%,195,413,-0.13
183,-2,52144,Braden Thornberry,46.61%,103,221,-0.16
184,-2,27139,David Skinns,45.71%,160,350,-0.21
185,-2,49590,Frankie Capan III,42.21%,149,353,-0.29