RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,46046,Scottie Scheffler,71.35%,132,185
2,0,32839,Hideki Matsuyama,71.03%,152,214
3,1,33199,Matteo Manassero,70.47%,136,193
4,-1,32139,Danny Willett,69.54%,121,174
5,1,23108,Matt Kuchar,69.08%,143,207
6,-1,28237,Rory McIlroy,69.01%,98,142
7,0,27649,Brandt Snedeker,68.11%,126,185
8,26,59095,Chris Gotterup,67.54%,154,228
9,21,47917,Takumi Kanaya,67.30%,107,159
10,-1,39975,Michael Kim,67.16%,182,271
11,-1,33204,Shane Lowry,67.13%,145,216
12,-1,47993,Denny McCarthy,67.04%,179,267
13,9,55623,Kaito Onishi,66.87%,111,166
14,-1,40026,Daniel Berger,66.67%,156,234
14,1,59143,Mac Meissner,66.67%,200,300
14,-1,51997,Andrew Novak,66.67%,192,288
17,0,36699,Patrick Rodgers,66.57%,219,329
18,-6,46340,Alex Smalley,66.37%,148,223
19,-1,12716,Charley Hoffman,66.36%,142,214
20,-12,30163,Henrik Norlander,66.24%,157,237
21,8,55893,Sam Stevens,66.23%,200,302
22,14,34256,Andrew Putnam,66.15%,129,195
23,-2,47056,Rikuya Hoshino,66.05%,142,215
24,-4,34021,Bud Cauley,65.90%,114,173
25,-9,28775,Nate Lashley,65.77%,146,222
26,7,59018,Ryan Gerard,65.58%,181,276
27,0,25493,Nick Taylor,65.28%,141,216
28,0,45522,Christiaan Bezuidenhout,65.27%,156,239
29,2,29535,Brice Garnett,65.05%,121,186
30,9,54813,Philip Knowles,65.00%,104,160
31,6,51894,Vince Whaley,64.94%,163,251
32,2,35532,Tom Hoge,64.88%,194,299
33,-7,59440,Ricky Castillo,64.81%,140,216
34,-12,36824,Paul Peterson,64.63%,106,164
35,-11,37275,Sam Ryder,64.62%,168,260
36,-17,54628,Lee Hodges,64.52%,100,155
37,-12,34076,Joel Dahmen,64.49%,138,214
38,-6,48887,Matt Wallace,64.46%,107,166
39,-1,28252,Seamus Power,64.43%,125,194
40,2,39546,Keith Mitchell,64.25%,133,207
41,2,50525,Collin Morikawa,64.24%,97,151
42,3,37378,Min Woo Lee,64.15%,136,212
43,4,39997,Corey Conners,64.04%,146,228
44,6,58605,Quade Cummins,63.90%,131,205
44,5,57975,Harry Hall,63.90%,177,277
44,4,29420,Billy Horschel,63.90%,154,241
47,7,36884,Ben Kohles,63.73%,130,204
48,17,51690,Taylor Dickson,63.72%,137,215
49,-3,47591,Eric Cole,63.71%,223,350
50,1,34046,Jordan Spieth,63.60%,145,228
51,6,47983,Chad Ramey,63.56%,150,236
52,-11,60004,Jacob Bridgeman,63.20%,158,250
53,3,28089,Jason Day,63.13%,137,217
54,4,34099,Harris English,63.00%,143,227
54,1,39971,Sungjae Im,63.00%,189,300
56,3,59141,Matt McCarty,62.88%,166,264
57,-5,51287,Ryo Hisatsune,62.78%,140,223
58,2,27644,Brian Harman,62.70%,158,252
59,21,47347,Adam Schenk,62.67%,141,225
60,-20,52370,Mason Andersen,62.66%,151,241
61,-18,47679,Victor Perez,62.65%,104,166
62,-1,52215,Robert MacIntyre,62.64%,109,174
63,0,59836,Pierceson Coody,62.50%,70,112
63,0,33968,Thorbjørn Olesen,62.50%,70,112
63,-1,52666,Sami Valimaki,62.50%,155,248
66,32,39335,Kevin Roy,62.44%,128,205
67,-3,58168,Davis Thompson,62.34%,144,231
68,22,37455,Si Woo Kim,62.21%,163,262
69,-3,25900,Lucas Glover,62.17%,143,230
70,-2,33653,Thomas Detry,62.11%,159,256
71,-8,36326,David Lipsky,62.03%,147,237
72,12,32757,Patton Kizzire,62.00%,124,200
72,-19,50582,Jeremy Paul,62.00%,124,200
74,-4,51890,Greyson Sigg,61.95%,140,226
75,-4,32102,Rickie Fowler,61.93%,135,218
76,-3,35506,Mackenzie Hughes,61.89%,151,244
77,-5,34098,Russell Henley,61.85%,107,173
78,-9,54576,Patrick Fishburn,61.84%,128,207
79,-5,51766,Wyndham Clark,61.79%,131,212
80,-5,39977,Max Homa,61.78%,118,191
81,-5,49771,J.T. Poston,61.77%,181,293
82,-4,52955,Ludvig Åberg,61.70%,116,188
83,-16,40162,Justin Lower,61.43%,129,210
84,26,33413,Ben Martin,61.41%,113,184
85,-4,33948,Byeong Hun An,61.37%,170,277
86,17,22371,Aaron Baddeley,61.36%,135,220
87,4,49947,Taylor Moore,61.34%,119,194
88,-4,30911,Tommy Fleetwood,61.24%,128,209
89,3,34587,Chan Kim,61.22%,161,263
90,-4,30926,Chris Kirk,61.21%,131,214
91,-4,31323,Gary Woodland,61.17%,126,206
92,-4,39324,J.J. Spaun,61.11%,143,234
93,0,56781,Isaiah Salinda,61.06%,127,208
94,-15,35461,Beau Hossler,61.01%,169,277
95,-12,58933,Will Chandler,60.92%,145,238
96,-7,39327,Ben Silverman,60.89%,109,179
97,-20,55789,Taylor Montgomery,60.82%,118,194
98,-2,29908,C.T. Pan,60.76%,96,158
99,2,57900,Chandler Phillips,60.73%,167,275
100,-18,34466,Peter Malnati,60.71%,153,252
100,8,59160,John Pak,60.71%,136,224
102,-3,33141,Keegan Bradley,60.70%,139,229
103,-3,49960,Sepp Straka,60.63%,134,221
104,-9,47420,Jake Knapp,60.57%,169,279
105,37,48117,Kurt Kitayama,60.28%,129,214
106,28,47504,Sam Burns,60.23%,156,259
107,-3,52375,Doug Ghim,60.18%,133,221
108,-2,33448,Justin Thomas,60.17%,142,236
109,-2,59866,Nick Dunlap,60.08%,143,238
110,7,54591,Ben Griffin,60.00%,159,265
111,12,51349,Nico Echavarria,59.92%,148,247
112,27,58619,Kevin Velo,59.88%,100,167
113,11,56762,Will Gordon,59.87%,91,152
114,-12,36799,Stephan Jaeger,59.86%,176,294
115,-6,64693,Matthew Riedel,59.80%,122,204
116,24,36801,Mark Hubbard,59.77%,153,256
117,1,38991,Alejandro Tosti,59.75%,141,236
118,-6,46443,Brian Campbell,59.69%,114,191
118,-21,55165,Noah Goodwin,59.69%,117,196
120,-9,33399,Adam Hadwin,59.68%,148,248
120,4,52513,Carson Young,59.68%,111,186
122,-28,29936,Ryan Fox,59.60%,118,198
123,-10,35658,Kris Ventura,59.56%,134,225
124,-9,51634,Sahith Theegala,59.47%,179,301
125,-3,27129,Luke List,59.35%,127,214
126,-7,40098,Matt Fitzpatrick,59.34%,108,182
127,-11,40115,Adam Svensson,59.23%,138,233
128,13,54607,Danny Walker,59.19%,132,223
129,-25,33597,Harry Higgs,59.09%,130,220
130,-16,50484,Hayden Springer,59.06%,101,171
131,-11,55182,Tom Kim,59.05%,137,232
132,1,27064,Jhonattan Vegas,59.04%,111,188
133,-4,52144,Braden Thornberry,58.92%,109,185
134,-3,51696,Rico Hoey,58.82%,130,221
135,-8,29725,Tony Finau,58.74%,131,223
136,-8,35450,Patrick Cantlay,58.73%,111,189
137,-7,57123,Steven Fisk,58.66%,105,179
138,-1,35310,Lanto Griffin,58.60%,126,215
139,-8,46414,Aaron Rai,58.50%,117,200
140,-14,57586,Jesper Svensson,58.30%,151,259
141,-6,46442,Maverick McNealy,58.13%,143,246
142,-6,56630,Akshay Bhatia,57.97%,120,207
143,-6,60067,Joe Highsmith,57.92%,139,240
144,2,40250,Taylor Pendrith,57.89%,121,209
145,6,46601,Trey Mullinax,57.87%,103,178
146,-25,24024,Zach Johnson,57.69%,105,182
147,-3,46717,Viktor Hovland,57.42%,89,155
148,-5,45242,Kevin Yu,57.41%,124,216
149,-2,57364,Michael Thorbjornsen,57.39%,101,176
150,-5,63121,William Mouw,57.28%,122,213
151,5,47995,Davis Riley,57.09%,145,254
152,6,51950,Max McGreevy,57.08%,137,240
153,-5,51977,Max Greyserman,56.88%,153,269
154,-5,22405,Justin Rose,56.80%,96,169
155,4,49590,Frankie Capan III,56.78%,134,236
156,6,55708,Hayden Buckley,56.72%,76,134
157,-2,27770,Camilo Villegas,56.70%,127,224
158,-6,24502,Adam Scott,56.67%,102,180
159,-5,32791,K.H. Lee,56.60%,90,159
160,-3,47483,Will Zalatoris,56.22%,104,185
161,12,60882,Thomas Rosenmueller,56.15%,105,187
162,-10,57362,Austin Eckroat,55.96%,122,218
163,1,27139,David Skinns,55.92%,118,211
164,7,46646,Antoine Rozner,55.88%,114,204
165,-15,60019,Jackson Suber,55.83%,115,206
166,-6,48081,Xander Schauffele,55.80%,77,138
167,5,54304,Karl Vilips,55.70%,83,149
168,-7,48867,Matti Schmid,55.50%,116,209
169,-6,23320,Ryan Palmer,55.38%,103,186
170,-3,31646,Emiliano Grillo,55.34%,140,253
171,6,52453,Nicolai Højgaard,55.30%,73,132
172,-6,48153,Matthieu Pavon,55.21%,143,259
173,-5,57366,Cameron Young,54.92%,145,264
174,-9,45157,Cam Davis,54.15%,111,205
175,-5,32070,Rafael Campos,54.11%,158,292
176,-2,45523,Thriston Lawrence,53.74%,79,147
177,-8,63343,Aldrich Potgieter,53.37%,103,193
178,-2,40006,Erik van Rooyen,53.30%,105,197
179,-1,51070,Vincent Norrman,53.04%,61,115
180,-1,39859,Cristobal Del Solar,53.03%,105,198
180,2,35706,Niklas Norgaard,53.03%,70,132
182,-2,49453,Trevor Cone,52.35%,78,149
183,-8,47988,Nick Hardy,52.17%,84,161
184,-3,50474,Tim Widing,50.94%,81,159
185,-2,52686,Rasmus Højgaard,49.18%,90,183